EURUSD Curncy,eurusd30dma,eurusd50dma,entry_signal
1.0976,1.0867766666666676,1.087326,
1.0975,1.0869700000000007,1.0875799999999998,
1.1082,1.0877966666666674,1.0883759999999998,
1.1101,1.088550000000001,1.0892019999999998,
1.113,1.0894166666666676,1.0899599999999998,
1.1174,1.0905166666666672,1.0907939999999998,
1.1237,1.0919200000000007,1.091546,1.0
1.1329,1.0936366666666673,1.092156,
1.1292,1.0952000000000004,1.0924579999999997,
1.1291,1.0967666666666671,1.0929999999999997,
1.1343,1.0984700000000005,1.093744,
1.1351,1.1001466666666673,1.094596,
1.1362,1.1015633333333341,1.0956359999999998,
1.1256,1.1024800000000006,1.0965459999999998,
1.1285,1.1037633333333339,1.097512,
1.1268,1.1051900000000006,1.0982560000000001,
1.1231,1.1066033333333338,1.0989900000000001,
1.1194,1.107873333333334,1.099506,
1.1178,1.109003333333334,1.0999880000000002,
1.1261,1.1105133333333341,1.1006760000000002,
1.1309,1.1120400000000008,1.101364,
1.1278,1.1135600000000008,1.1020860000000001,
1.1227,1.115043333333334,1.102872,
1.1219,1.116373333333334,1.10356,
1.1227,1.1174333333333342,1.104274,
1.1243,1.1184800000000008,1.105072,
1.1264,1.1194400000000007,1.1059679999999998,
1.1229,1.120353333333334,1.106798,
1.1248,1.1215100000000007,1.1076479999999997,
1.1307,1.1228900000000006,1.1086199999999997,
1.129,1.123936666666667,1.1095359999999999,
1.1336,1.1251400000000007,1.1105119999999997,
1.1291,1.1258366666666675,1.1112199999999999,
1.13,1.1265000000000007,1.1118579999999998,
1.1368,1.1272933333333341,1.1127939999999998,
1.1403,1.1280566666666678,1.1139199999999998,
1.1407,1.1286233333333344,1.11512,
1.1409,1.1288900000000013,1.116312,
1.1428,1.1293433333333347,1.1174899999999999,
1.1439,1.1298366666666682,1.118752,
1.1516,1.1304133333333346,1.1200820000000002,
1.1577,1.131166666666668,1.1215920000000001,
1.162,1.1320266666666678,1.1232680000000002,
1.1656,1.133360000000001,1.12494,
1.1745,1.1348933333333344,1.1266120000000002,
1.1735,1.1364500000000008,1.1282240000000001,
1.1774,1.138260000000001,1.12982,
1.1804000000000001,1.1402933333333343,1.131518,
1.1778,1.142293333333334,1.1332719999999998,
1.1749,1.1439200000000007,1.134984,
1.1778,1.145483333333334,1.136588,
1.1873,1.1474666666666673,1.1383839999999998,
1.188,1.149643333333334,1.13998,
1.1787,1.1515366666666675,1.141352,
1.1753,1.1532900000000008,1.1425979999999998,
1.1771,1.1550500000000008,1.143792,
1.1792,1.156810000000001,1.144902,
1.1817,1.158770000000001,1.145878,
1.1842,1.1607500000000008,1.146978,
1.1868,1.1626200000000009,1.148132,
1.1936,1.164773333333334,1.149318,
1.1878,1.1665800000000008,1.150372,
1.1854,1.1684566666666676,1.151356,
1.1797,1.170113333333334,1.1524379999999999,
1.18,1.1715533333333341,1.153468,
1.1812,1.172916666666667,1.1545559999999997,
1.1832,1.1743333333333337,1.1557579999999996,
1.1797,1.1756266666666668,1.1569639999999997,
1.1903,1.17721,1.1584139999999996,
1.1944,1.1788933333333336,1.1597799999999996,
1.1934,1.1802866666666667,1.1610299999999996,
1.1848,1.1811900000000002,1.1621699999999997,
1.1833,1.1819000000000002,1.1633819999999997,
1.1838,1.182506666666667,1.1646199999999998,
1.1816,1.1827433333333337,1.1657979999999997,
1.1796,1.182946666666667,1.1669039999999997,
1.1803,1.183043333333334,1.1679819999999999,
1.1858,1.183223333333334,1.1692399999999998,
1.1846,1.1834500000000008,1.170436,
1.1867,1.1838433333333342,1.171556,
1.1853,1.184093333333334,1.172682,
1.1833,1.183960000000001,1.1736760000000002,
1.1822,1.1837666666666675,1.174738,
1.184,1.1839433333333342,1.175818,
1.1741,1.1839033333333342,1.176564,
1.1703999999999999,1.183680000000001,1.177166,
1.1681,1.183310000000001,1.177714,
1.1663000000000001,1.1827966666666676,1.1782219999999999,
1.1631,1.1820933333333343,1.178628,
1.1656,1.1813866666666677,1.1790619999999998,
1.1738,1.1807266666666678,1.1795059999999997,
1.1722,1.1802066666666675,1.1797959999999998,
1.1745,1.1798433333333342,1.180046,-1.0
1.1716,1.1795733333333343,1.1801659999999998,
1.1787,1.1795300000000009,1.1802499999999998,
1.1781,1.1794266666666677,1.1803419999999998,
1.1772,1.1792266666666678,1.1803379999999999,
1.1755,1.1790866666666677,1.18024,
1.1826,1.1788300000000012,1.1803359999999998,
1.1811,1.1783866666666678,1.1804599999999998,
1.1735,1.1777233333333343,1.1803739999999998,
1.1751,1.1774000000000011,1.18013,
1.1697,1.1769466666666675,1.1797639999999998,
1.1718,1.1765466666666675,1.1796259999999998,
1.1782,1.176433333333334,1.1796839999999997,
1.1827,1.1765366666666672,1.1797959999999996,
1.1873,1.1767700000000005,1.1799579999999996,
1.1822,1.1766500000000006,1.1799679999999997,
1.186,1.1766966666666672,1.1800039999999996,
1.1811,1.1765100000000004,1.1798899999999997,
